MET2013_chr,pop_total.1,Agriculture,Architecture,"Area, Ethnic, and Civilization Studies",Biology and Life Sciences,Business,Communication Technologies,Communications,Computer and Information Sciences,Construction Services,Cosmetology Services and Culinary Arts,Criminal Justice and Fire Protection,Education Administration and Teaching,Electrical and Mechanic Repairs and Technologies,Engineering,Engineering Technologies,"English Language, Literature, and Composition",Environment and Natural Resources,Family and Consumer Sciences,Fine Arts,History,Interdisciplinary and Multi-Disciplinary Studies (General),Law,Liberal Arts and Humanities,Library Science,Linguistics and Foreign Languages,Mathematics and Statistics,Medical and Health Sciences and Services,Military Technologies,N/A,"Nuclear, Industrial Radiology, and Biological Technologies",Philosophy and Religious Studies,"Physical Fitness, Parks, Recreation, and Leisure",Physical Sciences,Psychology,"Public Affairs, Policy, and Social Work",Social Sciences,Theology and Religious Vocations,Transportation Sciences and Technologies
"Burlington, NC",156139.625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54.619910537525,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Canton-Massillon, OH",403115.75,#N/A,#N/A,#N/A,0.9623103667167386,1.7980375612661483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4029695540513467,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49.622246764421064,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cape Coral-Fort Myers, FL",675241.125,#N/A,#N/A,#N/A,0.6379851790380043,1.3104527058079247,#N/A,0.3699513378667313,#N/A,#N/A,#N/A,#N/A,0.559417651213874,#N/A,0.3791438378342871,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.48808143949155103,#N/A,46.690286592906546,#N/A,#N/A,#N/A,#N/A,0.4506114956822753,#N/A,#N/A,#N/A,#N/A
"Champaign-Urbana, IL",205777.375,2.2258632773284814,#N/A,#N/A,4.27457645654312,4.516111674627956,#N/A,2.257530989043724,2.171089215002849,#N/A,#N/A,#N/A,2.4609878307508564,#N/A,8.081416846322627,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4286978143350844,#N/A,94.96771856752635,#N/A,#N/A,#N/A,3.1910297010380844,#N/A,#N/A,1.8074377390458654,#N/A,#N/A
"Charleston-North Charleston, SC",730661.75,#N/A,#N/A,#N/A,2.3702339520044666,2.899418150140729,#N/A,0.4890036109943747,0.5132821775237234,#N/A,#N/A,#N/A,1.2708133690291896,#N/A,1.1911998396149401,#N/A,0.5054714868409591,#N/A,#N/A,1.1503386999918535,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.205190187160717,#N/A,57.83318292787297,#N/A,#N/A,0.5240883605788221,#N/A,0.9666924432905312,#N/A,1.319571903730849,#N/A,#N/A
"Charleston, WV",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Charlotte-Concord-Gastonia, NC-SC",2366771,#N/A,0.11950928667383287,#N/A,0.6069065378246944,3.3822150849192942,#N/A,1.1581408890623113,0.6094879729252625,#N/A,#N/A,0.5163986259649169,1.2363241944217491,#N/A,0.8552240596450279,#N/A,0.4117712794867027,#N/A,#N/A,0.5862728848211934,0.22969618200952477,0.19286770642602866,#N/A,#N/A,#N/A,#N/A,#N/A,0.7654586391916647,#N/A,51.07728922042666,#N/A,#N/A,0.5082084028929752,0.3158916235757759,0.888378179638228,0.2650119670078925,1.0720335875607367,0.11166037945484303,#N/A
"Charlottesville, VA",184484,#N/A,#N/A,0.3360725049326771,3.046334641486524,2.6940005637345243,#N/A,1.0949459031677544,#N/A,#N/A,1.5556904663819084,#N/A,1.420177359554216,#N/A,1.6857830489364931,#N/A,2.16278918496997,0.27102621365538476,#N/A,2.9162420589319398,1.311766874092062,0.8727044079703389,#N/A,0.5745755729494156,#N/A,0.514949805945231,1.1925153400836928,2.7211031851000627,#N/A,56.774571236529994,#N/A,1.3009258255458467,#N/A,1.3280284469113852,1.241300058541662,0.23850306801673857,4.336419418486156,#N/A,#N/A
"Chattanooga, TN-GA",519275.5,#N/A,#N/A,#N/A,#N/A,1.7688981161865387,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.1498571581875934,#N/A,0.9104610744568071,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.004490992270233,#N/A,52.836420584789195,#N/A,#N/A,#N/A,#N/A,0.8484053445563253,#N/A,#N/A,#N/A,#N/A
"Chicago-Naperville-Elgin, IL-IN-WI",9484721.75,0.10444979186707257,0.158861262993228,0.0700595038435768,1.2837947491458108,4.135347604309415,0.07250707978307559,1.3295656384960035,0.684250580224902,0.04763594848951317,#N/A,0.470908994116171,1.3236959306109068,#N/A,1.1272305024905442,0.09012600858989908,0.5357661948614059,0.09369893444729492,0.15749458385080253,1.2008460029074577,0.2863546916054409,0.16881887442987029,#N/A,0.19286666055747598,#N/A,0.2077813487363357,0.27804972323662763,1.3982962815839046,#N/A,49.76575800353155,#N/A,0.11302920393891668,0.37660892295077036,0.571496358741156,1.27960120145374,0.22529152875240577,1.4862885022008534,0.06842543988828538,0.06716388511717658
